Id,Importance
0,-0.0017083998968563567
1,-6.912090710443936E-4
2,-0.0011357182836737492
3,-0.0010436302514160419
4,-0.0018170044350700708
5,-0.0013203096115569802
6,-0.005949780872468026
7,-8.485303657671158E-4
8,4.1718763958043626E-4
9,-8.485303657671158E-4
10,3.326796713615926E-5
11,8.149315194077256E-4
12,-0.0010535924202351298
13,4.4450921262935563E-4
14,-0.003066032381243364
15,-0.002590421851882909
16,-4.653363868415057E-4
17,-0.0011357182836737492
18,-0.002223911712896914
19,-9.641146916535751E-4
20,-0.002703123384163576
21,-0.0012443228218874632
22,-0.004278502562179052
23,0.0
24,0.0
25,0.0
26,1.9927279906873144E-4
27,-0.004456874005628001
28,-0.004456874005628001
29,3.160277029931656E-4
30,-0.0028502195344274252
31,-0.004456874005628001
32,-6.767138442020477E-4
33,0.0
34,-0.027868468012405643
35,-5.270378100048688E-4
36,-0.003262329627347607
37,-0.0037656335850964253
38,0.0
39,0.01041696197367378
40,0.007982716020056896
41,0.0031106039729649993
42,0.0072433471936289365
43,0.0
44,0.004252686601787709
45,-0.012692311519772764
46,0.006821842559430626
47,0.0030562089743342005
48,0.0034849526503223675
49,0.009965250480592007
50,0.008497206984241952
51,0.0073731542183850165
52,0.006253063755855952
53,0.007537983811030894
54,0.012893539850068136
55,-0.0017861775677884121
56,0.010330481488423013
57,0.005931960036189292
58,0.006273140133787549
59,0.008086338260037015
60,0.005440795137469652
61,0.0032840480981077757
62,-0.0016112553612487035
63,0.008360652495316973
64,0.005008017139275654
65,0.004848770120450672
66,-0.003270793336511558
67,0.00823132693767512
68,0.009055156224581596
69,0.0101604520666635
70,0.008329890920088493
71,0.008086338260037015
72,0.005440795137469652
73,0.0023406321636036103
74,0.007537983811030894
75,-0.0037656335850964253
76,0.0017446048924736129
77,0.003896741931320049
78,0.004732015216526237
79,-0.01808888172194946
80,-0.010273197930522598
81,0.003649558011562304
82,-0.00925187914559139
83,-0.013490469548239958
84,0.006289292824866996
85,0.0011341651951934503
86,0.004725093619279947
87,0.004813471113471375
88,0.0012026484411663202
89,0.004363246209017538
90,0.002357189069339187
91,-0.0027011068029782347
92,-0.014403437807072919
93,-0.0013309015982754127
94,0.005603514251900658
95,-0.002260323849059815
96,-0.002945434858191163
97,0.006561164705850061
98,0.008666501129991054
99,0.012298396909019144
100,0.0050284595364618444
101,0.006352548650230696
102,-0.039684448757537294
103,-0.04127874662649552
104,0.0010522245475802668
105,-0.05340188190016611
106,0.004293156607657618
107,0.0028289708018307286
108,8.461599220662905E-4
109,0.0028272852335059083
110,-0.003140813438418345
111,-0.003140813438418345
112,0.0
113,-0.0034580937342051036
114,-0.009783937519935169
115,-0.007566629126548441
116,-0.0050142944803822954
117,-0.0019610718990435956
118,-0.0019610718990435956
119,3.8974149917436773E-4
120,0.004852853214818516
121,-0.002172273914063845
122,0.0
123,-0.0023020984959305105
124,-0.0023020984959305105
125,0.002059420490806562
126,0.003340234951628314
127,-0.06749233406376465
128,0.003354323043510777
129,-0.0013626056814109774
130,0.0016005723318443638
131,0.015166581604448144
132,0.008295851606987155
133,0.016366286244687295
134,0.013805688201579229
135,0.011587032749298082
136,0.0052363490410474115
137,0.010147202815265037
138,-1.740714511017337E-4
139,0.00237967396797806
140,0.001272088809446261
141,0.005993914390501078
142,-0.012693988521841403
143,0.0011200904625290645
144,0.006023719746056042
145,0.007433021302845283
146,0.009380060167578818
147,-0.002646707050558104
148,0.005298527275431211
149,0.012189384319801037
150,0.007919904722643754
151,-0.005360913427348183
152,0.008972012755376207
153,0.0
154,3.789202411071964E-4
155,0.005313750382272522
